Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Tunisia,TUN,..,86.24424993,98.64037384,98.90935048,98.60560115,99.1588735,99.40446591,99.9,100,100,99.57799065,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Trinidad and Tobago,TTO,..,80.24718948,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Tonga,TON,..,82.10596248,90.45393764,90.5992255,91.30024281,93.34037196,94.41395798,95.52171996,96.53304799,97.74206605,98.89908646,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Togo,TGO,..,..,9.33423539,16.25528077,15.55687979,16.57313255,21.1354836,19.01219124,20.39817677,19.45706264,22.35375204,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Timor-Leste,TLS,..,..,20.57826481,38.72092032,42.38945891,46.11768338,49.73076083,55.48149024,67.18120026,71.69074806,79.24554586,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Thailand,THA,..,73.9577726,99.46565974,99.14154755,98.82440281,99.15697345,99.71834908,99.50881734,100,99.9,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Tanzania,TZA,..,2.718512169,2.519728512,2.592143327,2.290904743,1.735447885,10.03742089,11.7593957,17.27067985,16.7039652,18.83683977,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Tajikistan,TJK,..,98.02519428,98.09059749,98.1355983,98.84703559,98.42546804,98.65092099,97.8174807,99.20240324,99.33695253,99.33723822,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Syrian Arab Republic,SYR,..,..,83.55855877,81.92209729,80.90726121,79.4301109,79.15688759,78.70033205,78.26904372,77.84546902,69.45765521,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Switzerland,CHE,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Sweden,SWE,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Suriname,SUR,..,91.20577027,79.36962439,86.86821531,86.57924226,86.56714329,86.66175455,88.6098388,90.76851177,92.59091634,94.28579014,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Sudan,SDN,19.45481322,2.174807132,26.25359691,26.43769108,26.77039112,27.29162628,28.9473741,34.4172124,38.85785076,43.04979877,47.05750684,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,St. Vincent and the Grenadines,VCT,..,74.27047243,92.57583123,94.56359016,96.67562,98.90415685,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,St. Martin (French part),MAF,..,..,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,St. Lucia,LCA,..,..,93.99892129,94.76763758,95.62074201,96.1579092,96.97928439,97.72668517,98.43836801,99.20262424,99.99855877,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,St. Kitts and Nevis,KNA,..,..,99.75784115,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Sri Lanka,LKA,..,..,83.00430958,85.74048905,84.70600229,88.46478098,90.98940458,93.07926149,97.16376749,96.98971447,99.48899041,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Spain,ESP,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,South Sudan,SSD,..,..,0.956415801,3.37866014,6.966483277,9.845785782,12.49504449,15.43796603,18.41438501,21.12833113,23.65343856,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,South Africa,ZAF,..,52.84346781,67.9479513,73.41535384,76.96773499,76.78775067,77.62956389,75.36353142,70.71572237,70.3145301,89.59881919,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Somalia,SOM,..,..,6.576000803,6.835600984,7.85839014,8.938302438,10.0595123,11.20615215,12.36163972,13.51021295,14.63661782,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Solomon Islands,SLB,..,..,25.95258087,30.82996781,35.67859394,40.41706577,44.96872555,51.50005787,55.14745211,59.61659644,63.54454019,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Slovenia,SVN,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Slovak Republic,SVK,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Sint Maarten (Dutch part),SXM,..,..,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Singapore,SGP,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Sierra Leone,SLE,..,..,..,0.277920648,0.992911692,..,1.506470093,1.881933731,1.640356023,5.351361729,6.431515434,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Seychelles,SYC,..,87.96933216,93.57101934,96.38402727,96.97342106,95.61644717,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Serbia,SRB,..,..,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Senegal,SEN,..,12.81024498,33.67427353,31.7188668,31.92111555,31.78064535,41.01495365,38.13573009,44.50023686,35.37254756,44.21697629,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Saudi Arabia,SAU,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Sao Tome and Principe,STP,..,40.06112185,43.72787083,44.581901,42.7665503,46.88460694,52.41332271,49.94801755,51.49271211,52.69553564,55.74170195,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,San Marino,SMR,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Samoa,WSM,..,85.01903645,96.1354381,96.16958017,96.81005569,97.92616846,97.54474014,99.68746977,99.97905326,96.0865561,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Rwanda,RWA,..,..,2.60560527,1.134196436,7.279978421,5.752466487,9.174299351,12.53564402,18.96498203,23.62353225,23.418646,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Russian Federation,RUS,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Romania,ROU,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Qatar,QAT,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Puerto Rico,PRI,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Portugal,PRT,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Poland,POL,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Philippines,PHL,..,61.99304995,78.08313223,81.26670351,81.2101531,81.89969303,84.7397555,83.19498028,88.5723352,90.02316667,92.51480169,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Peru,PER,..,11.08939439,55.63323695,61.30207069,66.16682458,69.90501228,72.7675034,76.69268862,77.97484069,80.49784463,81.7999811,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Paraguay,PRY,..,78.63279501,94.42690113,96.29149715,95.14150323,97.87321921,97.7289615,98.58271444,96.05128058,98.50801034,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Papua New Guinea,PNG,..,0.40443319,11.761731,25.19299351,27.47640353,29.84583766,33.93390099,39.44196138,44.9124194,50.4022877,55.46021468,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Panama,PAN,40.52385932,55.42346843,64.70689303,76.36777145,78.53478593,71.19972582,84.18597629,87.03669513,90.85955138,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Palau,PLW,..,..,95.85639617,95.89304795,94.87580937,96.62446343,99.15628256,98.12711327,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Pakistan,PAK,..,58.85054434,55.90475164,55.68036228,55.53702401,55.45513967,55.40634967,55.36900337,55.32779296,54.13683244,54.39318084,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Oman,OMN,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Norway,NOR,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Northern Mariana Islands,MNP,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,North Macedonia,MKD,..,..,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Nigeria,NGA,4.043913725,20.89480594,23.5367304,31.01918599,27.83716534,31.63459431,29.00144483,25.90397246,33.9704584,22.61743618,30.95084587,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Niger,NER,..,..,3.139976276,5.47433265,5.228654652,6.641445298,7.647525111,8.142163849,9.43041525,9.979870806,11.69820261,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Nicaragua,NIC,..,47.36301051,55.48472796,56.0104854,56.90752743,58.30020758,59.27268318,62.87525613,66.02278572,68.88834175,71.35120769,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,New Zealand,NZL,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,New Caledonia,NCL,99.90054896,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Netherlands,NLD,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Nepal,NPL,..,18.91987741,63.18070029,61.71845444,70.56554533,74.4937846,82.05552099,82.74050402,89.81199891,91.109771,93.46991026,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Nauru,NRU,..,..,..,..,..,..,..,100,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Namibia,NAM,..,18.93175538,25.76807619,21.63668939,27.11831598,27.30823743,29.43568091,31.28549821,31.6359417,33.58763836,35.52086346,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Myanmar,MMR,..,..,32.47184182,39.66553783,40.92861242,42.37734863,37.88095274,47.60191631,39.80994005,59.91913485,54.82240337,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Mozambique,MOZ,..,..,0.874176249,3.808346496,2.571413046,3.079804685,2.666224174,0.926828089,5.33043399,5.898188887,7.993288094,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Morocco,MAR,..,36.7331978,81.86664506,84.78392132,87.4108177,94.97791556,86.14202872,99.7258364,99.6116679,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Montenegro,MNE,..,..,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Mongolia,MNG,..,27.11286419,41.88355919,25.17791766,53.16533321,45.76727005,60.39127107,66.50469714,74.39541874,81.97459128,94.62948751,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Monaco,MCO,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Moldova,MDA,..,..,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,"Micronesia, Fed. Sts.",FSM,..,39.09998921,58.77503933,61.74269497,64.24890129,66.52491331,68.86018724,71.50580517,74.20026914,76.58137629,78.73943122,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Mexico,MEX,..,93.79899876,97.5991857,96.90347262,97.15697986,97.50517065,97.42692965,97.85177407,98.33106789,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Mauritius,MUS,..,98.2557118,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Mauritania,MRT,..,..,..,..,..,..,0.389355841,0.371407384,1.618174088,0.945926867,0.633227119,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Marshall Islands,MHL,..,23.53049647,79.35326661,82.56960947,83.0972982,83.78512515,84.6880411,86.85981704,88.48218772,92.14893948,98.43132362,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Malta,MLT,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Mali,MLI,..,..,2.102930278,3.137484764,..,5.795174946,7.308666556,7.278037859,12.4311158,13.60288933,25.40293038,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Maldives,MDV,..,78.0763776,98.61882421,99.1536322,99.43166766,99.33445774,100,99.74483606,99.94459859,99.864962,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Malaysia,MYS,..,..,98.08234603,98.56712346,99.53931469,99.73658782,99.96050028,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Malawi,MWI,..,0.710772754,3.914739761,2.953856823,1.82181393,3.756150313,5.321632781,3.412202317,4.871583593,3.709447903,10.44654331,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Madagascar,MDG,..,0.506658664,..,..,..,..,..,..,..,..,0.021077592,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,"Macao SAR, China",MAC,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Luxembourg,LUX,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Lithuania,LTU,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Liechtenstein,LIE,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Libya,LBY,..,99.15300907,15.20025536,6.593833736,..,..,..,..,..,..,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Liberia,LBR,..,..,0.901002478,1.216253507,3.762624619,3.462631085,4.128694403,5.224251725,5.45499688,7.439124779,7.390765992,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Lesotho,LSO,..,1.988831923,4.948298472,10.76856201,7.559943526,14.80647831,15.64840224,19.92038295,23.6099041,20.38691775,37.71324522,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Lebanon,LBN,..,..,99.26613655,99.19959236,99.93847862,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Latvia,LVA,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Lao PDR,LAO,..,28.22008863,59.23783811,57.95040199,66.78569682,70.99973228,75.92589463,85.69092753,86.64148739,90.51048283,97.07655764,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Kyrgyz Republic,KGZ,..,99.70764764,98.55641253,99.1924685,99.8,99.31114407,99.74463608,99.69355789,99.87796496,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Kuwait,KWT,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Kosovo,XKX,..,..,100,100,100,100,100,100,100,100,..,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,"Korea, Rep.",KOR,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,"Korea, Dem. People’s Rep.",PRK,..,..,31.21981221,34.21522561,37.22287864,40.2326849,43.24696815,46.26796554,49.30359642,52.35754551,55,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Kiribati,KIR,..,..,39.40763681,63.32832293,67.53840214,71.97589636,76.6317093,92.95683083,93.98348575,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Kenya,KEN,..,6.712608247,7.172248182,29.79183585,32.02737115,34.32588075,25.07232805,29.00258597,61.09008712,57.30622844,71.67698246,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Kazakhstan,KAZ,..,98.38269368,98.97211725,99.57135341,99.52234531,99.77719624,99.94463253,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Jordan,JOR,90.11886684,95.36730097,92.57828377,94.06055752,99.5,94.28121447,95.82106065,98.1714194,99.2546592,100,98.89147575,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Japan,JPN,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Jamaica,JAM,58.81785656,77.36556023,88.01739124,84.53065088,88.16529082,90.68543419,89.15355958,91.13657963,93.89140428,95.66468742,97.59346904,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Italy,ITA,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Israel,ISR,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Isle of Man,IMN,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Ireland,IRL,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Iraq,IRQ,..,..,94.81622274,93.49212534,98.41415604,96.14538988,96.9436532,97.89846362,98.98086304,99.69669295,99.9,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,"Iran, Islamic Rep.",IRN,..,94.15985317,96.72335329,97.2890898,98.10012004,99.16811014,100,99.94255474,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Indonesia,IDN,..,79.71916787,89.356518,90.20112846,92.63239473,92.99420417,93.97625041,94.91776422,95.06200257,96.03035861,96.81340796,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,India,IND,..,47.72497978,68.37382365,56.08607764,72.40401076,73.66350935,77.30266725,83.36793211,85.36612611,89.31665443,92.92933495,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Iceland,ISL,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Hungary,HUN,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,"Hong Kong SAR, China",HKG,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Honduras,HND,..,44.89955181,61.81716567,63.39590342,66.69269911,73.40605881,76.53886169,79.0115274,82.12668128,71.84864075,81.09082175,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Haiti,HTI,..,7.055278624,8.122216796,6.727669504,3.918404611,4.568154171,3.629840755,2.73942779,..,3.006985811,3.545803483,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Guyana,GUY,..,69.46720486,78.94057638,80.5359726,81.93341668,83.10668916,84.20784739,85.89251673,87.49019239,88.83658362,90.01043167,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Guinea-Bissau,GNB,..,..,2.115413508,3.193471219,4.968327661,6.836316885,5.820251957,7.432302791,8.587078553,9.310245659,9.987460548,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Guinea,GIN,..,..,4.701563551,5.440229445,1.190640818,7.117549882,8.035560097,8.844914377,6.742920899,8.095142072,19.6652011,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Guatemala,GTM,..,55.00925019,74.40840456,73.98520531,78.66143156,80.96155165,76.65595454,85.83794068,88.38421653,90.97245359,93.61770054,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Guam,GUM,99.7605473,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Grenada,GRD,..,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Greenland,GRL,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Greece,GRC,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Gibraltar,GIB,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Ghana,GHA,..,14.868923,55.35118009,41.9754527,51.54375424,50.82963685,63.96502373,60.35755698,66.59609221,65.33245211,67.34916374,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Germany,DEU,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Georgia,GEO,..,..,98.9071366,99.46233618,100,99.80939547,100,99.98094085,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,"Gambia, The",GMB,..,18.8190228,25.61837523,26.75019611,27.48913683,30.25271311,27.87395932,28.80765463,28.93070021,20.51822042,35.46297136,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Gabon,GAB,..,11.60526206,46.30078865,38.83420622,32.26116513,32.79278703,39.56878622,44.39267423,49.85910227,55.91451162,62.51130721,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,French Polynesia,PYF,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,France,FRA,100,100,100,100,100,100,100,100,100,100,100,..
"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,Finland,FIN,100,100,100,100,100,100,100,100,100,100,100,..
